SLN,Course Name,Course Ticker,Section,Required Section Amount,Limit,Class Day,Class Time
12645,COMP PROGRAMMING I,CSE121,A,0,420,WF,330-420
12646,COMP PROGRAMMING I,CSE121,AA,0,21,TTh,830-920
12647,COMP PROGRAMMING I,CSE121,AB,0,21,TTh,930-1020
12648,COMP PROGRAMMING I,CSE121,AC,0,21,TTh,1030-1120
12649,COMP PROGRAMMING I,CSE121,AD,0,21,TTh,1130-1220
12650,COMP PROGRAMMING I,CSE121,AE,0,21,TTh,1230-120
12651,COMP PROGRAMMING I,CSE121,AF,0,21,TTh,130-220
12652,COMP PROGRAMMING I,CSE121,AG,0,21,TTh,230-320
12653,COMP PROGRAMMING I,CSE121,AH,0,21,TTh,330-420
12654,COMP PROGRAMMING I,CSE121,AI,0,21,TTh,830-920
12655,COMP PROGRAMMING I,CSE121,AJ,0,21,TTh,930-1020
12656,COMP PROGRAMMING I,CSE121,AK,0,21,TTh,1030-1120
12657,COMP PROGRAMMING I,CSE121,AL,0,21,TTh,1130-1220
12658,COMP PROGRAMMING I,CSE121,AM,0,21,TTh,1230-120
12659,COMP PROGRAMMING I,CSE121,AN,0,21,TTh,130-220
12660,COMP PROGRAMMING I,CSE121,AO,0,20,TTh,230-320
12661,COMP PROGRAMMING I,CSE121,AP,0,21,TTh,330-420
12662,COMP PROGRAMMING I,CSE121,AQ,0,21,TTh,1230-120
12663,COMP PROGRAMMING I,CSE121,AR,0,21,TTh,130-220
12664,COMP PROGRAMMING I,CSE121,AS,0,20,TTh,230-320
12665,COMP PROGRAMMING I,CSE121,AT,0,21,TTh,330-420
12666,COMP PROGRAMMING II ,CSE122,A,0,420,WF,230-320
12667,COMP PROGRAMMING II ,CSE122,AA,0,21,TTh,830-920
12668,COMP PROGRAMMING II ,CSE122,AB,0,21,TTh,930-1020
12669,COMP PROGRAMMING II ,CSE122,AC,0,21,TTh,1030-1120
12670,COMP PROGRAMMING II ,CSE122,AD,0,21,TTh,1130-1220
12671,COMP PROGRAMMING II ,CSE122,AE,0,21,TTh,1230-120
12672,COMP PROGRAMMING II ,CSE122,AF,0,21,TTh,130-220
12673,COMP PROGRAMMING II ,CSE122,AG,0,21,TTh,230-320
12674,COMP PROGRAMMING II ,CSE122,AH,0,21,TTh,330-420
12675,COMP PROGRAMMING II ,CSE122,AI,0,21,TTh,830-920
